"GEO_ID","NAME","C03002_001E","C03002_001M","C03002_002E","C03002_002M","C03002_003E","C03002_003M","C03002_004E","C03002_004M","C03002_005E","C03002_005M","C03002_006E","C03002_006M","C03002_007E","C03002_007M","C03002_008E","C03002_008M","C03002_009E","C03002_009M","C03002_010E","C03002_010M","C03002_011E","C03002_011M","C03002_012E","C03002_012M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1600000US1921000","Des Moines city, Iowa","216993","316","185287","2978","137268","4742","24018","3292","383","229","15057","2668","0","163","316","338","8245","2390","420","314","7825","2287","31706","2909"
"1600000US0151000","Montgomery city, Alabama","198218","21","190828","505","57190","1808","123749","2110","245","240","6661","586","0","201","137","162","2846","1073","344","454","2502","961","7390","508"
"1600000US0908000","Bridgeport city, Connecticut","144898","32","84971","4370","23407","3028","50916","4908","136","242","5551","2365","0","207","2108","1569","2853","911","387","465","2466","909","59927","4375"
"1600000US2634000","Grand Rapids city, Michigan","200230","52","163761","4110","115719","4510","35264","3796","210","252","4431","1963","86","130","41","69","8010","2269","132","141","7878","2266","36469","4106"
"1600000US3710740","Cary town, North Carolina","169537","906","158220","3009","104101","5247","18297","4490","97","102","31968","3308","283","333","234","382","3240","1140","255","315","2985","1060","11317","2975"
"1600000US4857200","Pharr city, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1600000US2582000","Worcester city, Massachusetts","185883","39","142887","4362","99035","5374","21832","3645","72","98","16084","2969","107","170","796","434","4961","1920","1093","895","3868","1679","42996","4359"
"1600000US0670098","Santa Rosa city, California","177587","32","113617","5986","95309","5675","2447","998","958","665","9190","1950","93","161","284","329","5336","1681","338","392","4998","1687","63970","5982"
"1600000US0455000","Phoenix city, Arizona","1660272","81","945954","13083","701841","14140","113435","8573","31035","5052","55382","5828","2447","1680","2453","1400","39361","5833","1159","845","38202","5932","714318","13084"
"1600000US3901000","Akron city, Ohio","198025","67","192718","1770","117402","4704","56558","4284","318","292","9909","2643","0","195","736","722","7795","2399","0","195","7795","2399","5307","1771"
"1600000US0680238","Tracy city, California","91803","43","54973","5128","27836","3783","3888","1889","174","225","16502","3771","254","283","0","211","6319","2321","42","67","6277","2316","36830","5124"
"1600000US0611390","Carmichael CDP, California","65328","5237","54557","4840","43180","4528","2499","1420","221","203","3821","1324","0","211","116","188","4720","2336","106","123","4614","2362","10771","2741"
"1600000US0616350","Corona city, California","168826","39","85560","5520","51077","5092","11986","3311","219","213","17378","3731","985","695","317","323","3598","1407","438","630","3160","1156","83266","5517"
"1600000US1271569","The Hammocks CDP, Florida","64910","8022","13899","3098","7255","1994","2001","1327","0","229","1359","729","0","229","706","640","2578","2038","89","147","2489","2030","51011","8283"
"1600000US0629000","Garden Grove city, California","172652","41","107045","6008","30137","3620","1569","1207","306","265","68343","5504","3903","3880","240","190","2547","1315","0","211","2547","1315","65607","6013"
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","196138","2419","186241","2365","64981","1794","111284","2390","551","282","3463","834","95","110","1278","1339","4589","1506","168","238","4421","1502","9897","322"
"1600000US0659920","Redding city, California","91777","29","82832","1823","71820","2453","1569","703","963","550","4207","1212","162","202","355","422","3756","1107","269","387","3487","1007","8945","1824"
"1600000US0680000","Torrance city, California","145181","33","116287","4920","54763","4320","3370","1902","548","730","51447","4801","348","361","523","491","5288","1602","81","132","5207","1603","28894","4924"
"1600000US0653896","Ontario city, California","181119","60","48500","5290","25280","3269","8488","2627","916","812","10940","2638","0","211","117","194","2759","1311","297","302","2462","1234","132619","5294"
"1600000US1571550","Urban Honolulu CDP, Hawaii","347403","45","319617","4744","53563","4503","6481","1729","184","166","177977","6828","26517","3639","333","300","54562","5517","368","319","54194","5470","27786","4748"
"1600000US0803455","Arvada city, Colorado","120127","764","105614","2367","99118","3027","1207","599","524","337","2368","1142","0","204","128","165","2269","1017","107","144","2162","959","14513","2452"
"1600000US2627440","Farmington Hills city, Michigan","81103","39","78430","1599","47253","3868","16377","3435","595","534","12304","2838","171","241","0","172","1730","850","230","230","1500","803","2673","1596"
"1600000US4863572","Rowlett city, Texas","66686","2452","50937","5536","32673","3895","10539","4988","380","589","4678","1876","0","228","602","951","2065","1476","0","228","2065","1476","15749","5359"
"1600000US2603000","Ann Arbor city, Michigan","121885","35","116461","1031","82801","2724","7297","1820","33","51","21778","2214","0","172","670","778","3882","1158","228","304","3654","1099","5424","1031"
"1600000US3251800","North Las Vegas city, Nevada","245949","38","139304","7558","66439","7223","46555","6544","691","442","12224","2773","3750","2866","828","1287","8817","2664","97","161","8720","2663","106645","7551"
"1600000US1258350","Port Charlotte CDP, Florida","64815","4621","56918","4561","47489","4444","5528","1709","77","138","867","717","215","332","657","757","2085","947","0","229","2085","947","7897","1472"
"1600000US2250115","Metairie CDP, Louisiana","141114","7424","120524","6758","96099","5961","14695","3635","210","229","6648","2094","67","111","172","202","2633","1273","0","217","2633","1273","20590","3612"
"1600000US1254000","Palm Bay city, Florida","114190","36","94430","4794","69045","5852","16903","4385","86","159","2461","1287","0","229","243","388","5692","3313","188","304","5504","3306","19760","4791"
"1600000US1836003","Indianapolis city (balance), Indiana","864131","3790","776109","5578","465466","5342","251958","4863","1667","742","31777","2027","534","497","3950","2489","20757","3431","1043","784","19714","3401","88022","3937"
"1600000US0659451","Rancho Cucamonga city, California","177742","46","105863","7025","59461","6108","18775","5734","234","348","18266","3348","70","144","523","576","8534","2919","532","415","8002","2843","71879","7026"
"1600000US0681344","Upland city, California","77002","33","47070","3562","29835","3448","3862","1880","0","211","10181","3139","34","53","383","487","2775","1295","116","189","2659","1282","29932","3561"
"1600000US4751560","Murfreesboro city, Tennessee","141336","39","132170","2978","93606","4689","27913","4041","461","672","4762","1741","0","211","0","211","5428","2054","0","211","5428","2054","9166","2973"
